,id,tweet,label,text
4945,242,After 2 residents of a skilled nursing facility tested positive for #COVID19 all residents &amp; staff were tested. 27 cases were diagnosed. COVID-19 spreads quickly in skilled nursing facilities. Universal &amp; serial testing are important. More from @CDCMMWR: https://t.co/jPvdoJOTTI. https://t.co/4MrTyLmnmx,0,After 2 residents of a skilled nursing facility tested positive for #COVID19 all residents &amp; staff were tested. 27 cases were diagnosed. COVID-19 spreads quickly in skilled nursing facilities. Universal &amp; serial testing are important. More from @CDCMMWR: https://t.co/jPvdoJOTTI. https://t.co/4MrTyLmnmx
3815,1882,Germany has sent China a bill of ?130 billion for damages caused to the economy due to coronavirus.,1,Germany has sent China a bill of ?130 billion for damages caused to the economy due to coronavirus.
742,5438,New York state hospitals reporting thousands of fungus lung infections due to wearing a mask!!,1,New York state hospitals reporting thousands of fungus lung infections due to wearing a mask!!
7306,4472,This is the state of things now. (Note that OR KS KY LA PA NH and RI did not report any new cases today.) https://t.co/hgR7FfanYk,0,This is the state of things now. (Note that OR KS KY LA PA NH and RI did not report any new cases today.) https://t.co/hgR7FfanYk
5402,1172,Looking for ways to help while Quarantined? 🍔 Support local businesses by ordering takeout or buying gift cards ❤️ Donate blood via @RedCross 🥫 Donate to your local food banks ☎️ Check in with your neighbors especially those living alone Most Importantly #StayAtHome,0,Looking for ways to help while Quarantined? 🍔 Support local businesses by ordering takeout or buying gift cards ❤️ Donate blood via @RedCross 🥫 Donate to your local food banks ☎️ Check in with your neighbors especially those living alone Most Importantly #StayAtHome
2833,930,Update for our data users - we continued to implement changes to our original totalTestResults API field resulting in a ~600k cumulative test increase since March. We updated test totals for 14 states: AK AL AR AS CA DC GA ID KY MN NH SD VA and WA.,0,Update for our data users - we continued to implement changes to our original totalTestResults API field resulting in a ~600k cumulative test increase since March. We updated test totals for 14 states: AK AL AR AS CA DC GA ID KY MN NH SD VA and WA.
3077,2047,NEWS! Jeremy Corbyn demands government open talks with coronavirus https://t.co/El7LXvGJcE https://t.co/53PRucnrhP,1,NEWS! Jeremy Corbyn demands government open talks with coronavirus https://t.co/El7LXvGJcE https://t.co/53PRucnrhP
8034,1885,66% of coronavirus deaths in France are from care facilities.,1,66% of coronavirus deaths in France are from care facilities.
4217,1026,Over 29000 Indians reported new coronavirus infections taking the country’s total confirmed case count to 9.3 lakh. A low cost COVID-19 diagnostic test kit developed by IIT Delhi was launched by Union HRD minister Ramesh Pokhriyal. #COVID19 #CoronavirusFacts https://t.co/W9745xxUrs,1,Over 29000 Indians reported new coronavirus infections taking the country’s total confirmed case count to 9.3 lakh. A low cost COVID-19 diagnostic test kit developed by IIT Delhi was launched by Union HRD minister Ramesh Pokhriyal. #COVID19 #CoronavirusFacts https://t.co/W9745xxUrs
5046,519,The government raided The Medical City and other private hospitals taking away their personal protective equipment (PPE).,1,The government raided The Medical City and other private hospitals taking away their personal protective equipment (PPE).
4755,393,COVID-19 Update ​ ​ We have 5 new cases of COVID-19 in the community. 4 are Auckland-based and 1 is connected to the 2 Tokoroa cases and is currently in Waikato Hospital. ​ ​ This brings our total number of active cases to 101.,0,COVID-19 Update ​ ​ We have 5 new cases of COVID-19 in the community. 4 are Auckland-based and 1 is connected to the 2 Tokoroa cases and is currently in Waikato Hospital. ​ ​ This brings our total number of active cases to 101.
7480,68,"Experts Call Out Claims That Cow Dung/Urine, Yoga, AYUSH Can Prevent Or Treat COVID-19",1,"Experts Call Out Claims That Cow Dung/Urine, Yoga, AYUSH Can Prevent Or Treat COVID-19"
393,1428,As of today there are 2750 active #COVID19 cases in #Chittoor #AndhraPradesh: https://t.co/X0dkCdH32n @MoHFW_INDIA @drharshvardhan @DrHVoffice #COVID__19 #COVID #COVIDー19 #COVID19India #CoronavirusIndia #coronavirus https://t.co/2zrD9Zs4uJ,0,As of today there are 2750 active #COVID19 cases in #Chittoor #AndhraPradesh: https://t.co/X0dkCdH32n @MoHFW_INDIA @drharshvardhan @DrHVoffice #COVID__19 #COVID #COVIDー19 #COVID19India #CoronavirusIndia #coronavirus https://t.co/2zrD9Zs4uJ
2826,718,The WHO now says it was wrong and asymptomatic spread of COVID-19 is very rare.,1,The WHO now says it was wrong and asymptomatic spread of COVID-19 is very rare.
230,3145,If Michigan continues to #StayAtHome hospitals should not become overloaded. However if distancing is relaxed there is a potential for over 99k hospitalizations - overwhelming the system by April 30. Learn more at https://t.co/baCX6IqpnY https://t.co/PvM2uv1bum,0,If Michigan continues to #StayAtHome hospitals should not become overloaded. However if distancing is relaxed there is a potential for over 99k hospitalizations - overwhelming the system by April 30. Learn more at https://t.co/baCX6IqpnY https://t.co/PvM2uv1bum
6663,1722,The identification on Feb. 26 2020 of a patient with COVID-19 &amp; no travel history indicated the likelihood of community spread. Until late Feb. #COVID19 incidence was too low to be detected by emergency department surveillance. More from @CDCMMWR: https://t.co/wvl3kMiGiv. https://t.co/0JeFWOwRmM,0,The identification on Feb. 26 2020 of a patient with COVID-19 &amp; no travel history indicated the likelihood of community spread. Until late Feb. #COVID19 incidence was too low to be detected by emergency department surveillance. More from @CDCMMWR: https://t.co/wvl3kMiGiv. https://t.co/0JeFWOwRmM
41,2109,A post giving a nurse's advice not to be infected by coronavirus. The nurse is called Claire Magne and works at hospitals in Toulouse or in Marseille depending on publications.,1,A post giving a nurse's advice not to be infected by coronavirus. The nurse is called Claire Magne and works at hospitals in Toulouse or in Marseille depending on publications.
6050,1736,"Commonly used drugs hydroxychloroquine and chloroquine should be safe in trials to prevent COVID-19, an @NIHRresearch-supported study has reported. Read more: https://t.co/JZCYEKqn94 #prioritycovidresearch https://t.co/h1Gkuvtl4w",1,"Commonly used drugs hydroxychloroquine and chloroquine should be safe in trials to prevent COVID-19, an @NIHRresearch-supported study has reported. Read more: https://t.co/JZCYEKqn94 #prioritycovidresearch https://t.co/h1Gkuvtl4w"
7175,4837,Dr Uma Kumar of AIIMS gave the interview as shown in the video on coronavirus.,1,Dr Uma Kumar of AIIMS gave the interview as shown in the video on coronavirus.
5321,1835,A Chinese expert assures everybody that inhalation of a steam from hot water kills Corona virus 100 percent.,1,A Chinese expert assures everybody that inhalation of a steam from hot water kills Corona virus 100 percent.
2453,2610,#IndiaFightsCorona 1141 deaths have been registered in the past 24 hours. 83% of these are from 10 States/UTs. https://t.co/4ixD6H0ACS,0,#IndiaFightsCorona 1141 deaths have been registered in the past 24 hours. 83% of these are from 10 States/UTs. https://t.co/4ixD6H0ACS
1123,3559,@Cybertiiger Kia ora Julia schools are considered a controlled environment with hygiene and distancing protocols in place. The 10 person gathering rule will be reviewed on 25 May.,0,@Cybertiiger Kia ora Julia schools are considered a controlled environment with hygiene and distancing protocols in place. The 10 person gathering rule will be reviewed on 25 May.
2357,43,"The Chinese government announced that ""garlic is a preventative food for the the novel coronavirus.""",1,"The Chinese government announced that ""garlic is a preventative food for the the novel coronavirus."""
8470,1303,Coronavirus lives for 12 hours on metal surfaces.,1,Coronavirus lives for 12 hours on metal surfaces.
6005,2147,#IndiaFightsCorona: Total Recoveries in India surpass 26 lakh Increasing Recovery Rate is coupled with a consistently falling Case Fatality Rate #StaySafe #IndiaWillWin https://t.co/KJpcdzQSue,0,#IndiaFightsCorona: Total Recoveries in India surpass 26 lakh Increasing Recovery Rate is coupled with a consistently falling Case Fatality Rate #StaySafe #IndiaWillWin https://t.co/KJpcdzQSue
6478,5294,"Reliance Jio, one of the biggest telecom networks in India, is providing Internet for free during the coronavirus pandemic.",1,"Reliance Jio, one of the biggest telecom networks in India, is providing Internet for free during the coronavirus pandemic."
6879,3741,"They won't and they can't. Many missionaries have died in corona. Even Mother Teresa died a painful death. If Jesus could bring health, Christian hospitals would not be having operation theatres and surgeries. https://t.co/TgTtECOkp5",1,"They won't and they can't. Many missionaries have died in corona. Even Mother Teresa died a painful death. If Jesus could bring health, Christian hospitals would not be having operation theatres and surgeries. https://t.co/TgTtECOkp5"
6595,505,By known positive tests the 10 states with the highest per capita number of cases are: Washington New York Colorado Massachusetts Louisiana Rhode Island New Jersey South Dakota New Hampshire Georgia,0,By known positive tests the 10 states with the highest per capita number of cases are: Washington New York Colorado Massachusetts Louisiana Rhode Island New Jersey South Dakota New Hampshire Georgia
7603,3539,The number of currently hospitalized COVID patients in Texas surpassed California today. https://t.co/O4Kqm7zD7V,0,The number of currently hospitalized COVID patients in Texas surpassed California today. https://t.co/O4Kqm7zD7V
4474,916,COVID-19 may be linked to an onset of pediatric type 1 diabetes an Imperial College London study suggests. https://t.co/TO7qGLiapG https://t.co/VMwJq4JylX,0,COVID-19 may be linked to an onset of pediatric type 1 diabetes an Imperial College London study suggests. https://t.co/TO7qGLiapG https://t.co/VMwJq4JylX
4803,962,For a breakdown of cases by states in real time please see https://t.co/zQrpNeOfet Currently; Lagos- 44 FCT- 12 Ogun- 3 Ekiti- 1 Oyo- 1 Edo- 1 Bauchi-1 Osun-1 Rivers-1 Total: 65 confirmed cases #COVID19Nigeria,0,For a breakdown of cases by states in real time please see https://t.co/zQrpNeOfet Currently; Lagos- 44 FCT- 12 Ogun- 3 Ekiti- 1 Oyo- 1 Edo- 1 Bauchi-1 Osun-1 Rivers-1 Total: 65 confirmed cases #COVID19Nigeria
1569,5670,_A video clip shows a doctor couple who died after treating 134 COVID-19 patients._,1,_A video clip shows a doctor couple who died after treating 134 COVID-19 patients._
2177,3087,"COVID-19 virus will be killed at a temperature of 30-35 degrees. Therefore, drink more hot water, go under the sun for a long time",1,"COVID-19 virus will be killed at a temperature of 30-35 degrees. Therefore, drink more hot water, go under the sun for a long time"
6634,561,In our interconnected world if people in low- and middle-income countries miss out on #COVID19 vaccines the virus will continue to kill and the economic recovery will be delayed. Vaccine nationalism will prolong the pandemic not shorten it-@DrTedros https://t.co/llSzT7UpHV,0,In our interconnected world if people in low- and middle-income countries miss out on #COVID19 vaccines the virus will continue to kill and the economic recovery will be delayed. Vaccine nationalism will prolong the pandemic not shorten it-@DrTedros https://t.co/llSzT7UpHV
6812,1055,Stepping back the infection data—new cases— and the outcomes data (hospitalizations and deaths) are not moving together. Deaths and hospitalizations continue to fall; cases fell but now seem to be ticking up.,0,Stepping back the infection data—new cases— and the outcomes data (hospitalizations and deaths) are not moving together. Deaths and hospitalizations continue to fall; cases fell but now seem to be ticking up.
61,1314,"Today's update is the first produced by a team of volunteers. Thanks to everyone who helped out with data entry today! Because of this team of volunteers our numbers are now updated every few hours. You can see the latest numbers on the ""States current"" and ""US current"" tabs.",0,"Today's update is the first produced by a team of volunteers. Thanks to everyone who helped out with data entry today! Because of this team of volunteers our numbers are now updated every few hours. You can see the latest numbers on the ""States current"" and ""US current"" tabs."
4793,1406,There are 161 people linked to the community cluster who have been transferred to the Auckland Quarantine facility this includes 88 people who have tested positive for COVID-19 and their household contacts.,0,There are 161 people linked to the community cluster who have been transferred to the Auckland Quarantine facility this includes 88 people who have tested positive for COVID-19 and their household contacts.
7882,5635,A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk an Ukrainian separatist region,1,A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk an Ukrainian separatist region
5011,895,"#Coronavirus is nothing but punishment given from god. Nazi Concentration Camp on the left and a Uighur “re-education center” on the right, history to repeat itself because #Uighurs are not only Muslims but an ethnic minority in China. https://t.co/WORpvV8if2",1,"#Coronavirus is nothing but punishment given from god. Nazi Concentration Camp on the left and a Uighur “re-education center” on the right, history to repeat itself because #Uighurs are not only Muslims but an ethnic minority in China. https://t.co/WORpvV8if2"
4769,1686,As of June 23: More than 2.3 million #COVID19 cases have been reported in the U.S. with 40 states and jurisdictions reporting more than 10000 cases. See how many cases have been reported in your state or county here: https://t.co/wiuFBKR3Uh https://t.co/UbfeLUso6m,0,As of June 23: More than 2.3 million #COVID19 cases have been reported in the U.S. with 40 states and jurisdictions reporting more than 10000 cases. See how many cases have been reported in your state or county here: https://t.co/wiuFBKR3Uh https://t.co/UbfeLUso6m
